iter	Passed	Remaining
399	38419	9604
400	38509	9507
401	38592	9408
402	38664	9306
403	38715	9199
404	38815	9104
405	38886	9003
406	38936	8897
407	39037	8802
408	39098	8699
409	39165	8597
410	39255	8500
411	39328	8400
412	39422	8304
413	39531	8211
414	39624	8115
415	39719	8020
416	39828	7927
417	39909	7829
418	40078	7747
419	40154	7648
420	40247	7552
421	40320	7452
422	40400	7354
423	40471	7254
424	40582	7161
425	40659	7062
426	40766	6969
427	40831	6868
428	40905	6769
429	40987	6672
430	41043	6570
431	41163	6479
432	41253	6383
433	41336	6286
434	41407	6187
435	41479	6088
436	41529	5987
437	41635	5893
438	41707	5795
439	41778	5697
440	41847	5598
441	41931	5502
442	42025	5407
443	42093	5309
444	42143	5208
445	42261	5116
446	42341	5020
447	42409	4922
448	42463	4823
449	42561	4729
450	42633	4632
451	42692	4533
452	42756	4436
453	42865	4343
454	42939	4246
455	43041	4153
456	43123	4057
457	43221	3963
458	43296	3867
459	43348	3769
460	43409	3672
461	43472	3575
462	43530	3478
463	43575	3380
464	43655	3285
465	43730	3190
466	43784	3094
467	43865	2999
468	43934	2904
469	43991	2807
470	44100	2715
471	44166	2620
472	44251	2525
473	44345	2432
474	44422	2338
475	44518	2244
476	44578	2149
477	44642	2054
478	44731	1961
479	44825	1867
480	44902	1773
481	44978	1679
482	45036	1585
483	45134	1492
484	45185	1397
485	45249	1303
486	45335	1210
487	45429	1117
488	45474	1022
489	45547	929
490	45595	835
491	45651	742
492	45731	649
493	45817	556
494	45885	463
495	45950	370
496	46021	277
497	46077	185
498	46160	92
499	46242	0
