iter	MultiClass
202	0.1582065948
203	0.1575365526
204	0.1569951578
205	0.1562574572
206	0.1555186826
207	0.1543891511
208	0.1535687354
209	0.1525947509
210	0.1517588285
211	0.1511771218
212	0.1505165491
213	0.1496615311
214	0.1494231998
215	0.1485999289
216	0.1475971995
217	0.1469092073
218	0.1462672669
219	0.1456417591
220	0.1448480795
221	0.1432163309
222	0.1425955984
223	0.141260826
224	0.1405439998
225	0.140167743
226	0.1398305727
227	0.1392961651
228	0.1388920824
229	0.1384560244
230	0.1378173988
231	0.1372372552
232	0.13650356
233	0.1358582079
234	0.1352861264
235	0.1350351479
236	0.1342372745
237	0.1335662404
238	0.1329250359
239	0.132296035
240	0.1318175721
241	0.131267817
242	0.1306776768
243	0.1298641825
244	0.1293420755
245	0.1288815832
246	0.1284636298
247	0.127983195
248	0.1275551351
249	0.1268935271
250	0.1263834362
251	0.1260205224
252	0.1256436601
253	0.1251139667
254	0.1245588273
255	0.1239833144
256	0.1234739752
257	0.123071423
258	0.1226068598
259	0.1221023353
260	0.1214448811
261	0.1210428491
262	0.1205168903
263	0.1200297836
264	0.1195123556
265	0.1191950755
266	0.1184878481
267	0.1179611979
268	0.1173280128
269	0.1168828152
270	0.1163440447
271	0.1160446617
272	0.1154631688
273	0.1150983994
274	0.1148059912
275	0.1144811615
276	0.1139879473
277	0.1136749274
278	0.1133801649
279	0.1128675372
280	0.1121396571
281	0.1117895911
282	0.1114717253
283	0.110854893
284	0.110181133
285	0.1096844257
286	0.1091881346
287	0.1087510432
288	0.1084464097
289	0.1081199674
290	0.1078561797
291	0.1074544021
292	0.1069617277
293	0.1066301096
294	0.1064150512
295	0.1060615158
296	0.105780421
297	0.1055191781
298	0.1052285678
299	0.1048438457
300	0.1042959615
301	0.1040043638
302	0.103674906
303	0.1033620104
304	0.1030218755
305	0.1026755385
306	0.1022623194
307	0.1018204595
308	0.1016273662
309	0.1013148171
310	0.1009627048
311	0.1007590172
312	0.1005698069
313	0.1001466758
314	0.09969322762
315	0.0994231368
316	0.09906248353
317	0.09879321729
318	0.09865706442
319	0.09845443472
320	0.09808724787
321	0.09761872334
322	0.09720039917
323	0.09676901031
324	0.09653542394
325	0.09632341098
326	0.09591911307
327	0.09566156667
328	0.09535798961
329	0.09517339996
330	0.09476228969
331	0.09453069259
332	0.09410114079
333	0.09385306443
334	0.09370009727
335	0.09336570311
336	0.09312312359
337	0.09286836795
338	0.09245738025
339	0.09208128607
340	0.09172934537
341	0.09133459345
342	0.0910182841
343	0.09085895607
344	0.09064052075
345	0.09031919217
346	0.08975106013
347	0.08943827767
348	0.08922619615
349	0.08910653044
350	0.0887418696
351	0.08842834289
352	0.08825338536
353	0.08803880131
354	0.08777937917
355	0.08743821244
356	0.08720721167
357	0.08687177249
358	0.08648226149
359	0.08622592882
360	0.08603881349
361	0.0858447454
362	0.0855685978
363	0.08533573693
364	0.08503633475
365	0.08466039986
366	0.08447078608
367	0.08410679928
368	0.08382871797
369	0.08364918257
370	0.08351318639
371	0.08321092803
372	0.08284331076
373	0.08250788267
374	0.08231731826
375	0.08218130795
376	0.08185347144
377	0.08174882397
378	0.08157433217
379	0.08130248647
380	0.08107662582
381	0.08085309858
382	0.08059780884
383	0.08035918954
384	0.08013969407
385	0.07983771505
386	0.07974667144
387	0.07941889446
388	0.07915644571
389	0.0790439313
390	0.07882316893
391	0.07863536111
392	0.07836784835
393	0.07802457481
394	0.07757464585
395	0.0771505242
396	0.07683332474
397	0.07673971305
398	0.07651691424
399	0.07634436659
400	0.07608987837
401	0.07601514762
402	0.07586536396
403	0.07561595112
404	0.07541807811
405	0.07525200774
406	0.07496201695
407	0.07480285997
408	0.0746656832
409	0.07437802958
410	0.07403042593
411	0.07386812665
412	0.07363561734
413	0.07346365895
414	0.07328808544
415	0.07289826016
416	0.07266077632
417	0.07241513863
418	0.07216398965
419	0.07195559981
420	0.0717918468
421	0.07156464452
422	0.07130840671
423	0.07118054771
424	0.07096453062
425	0.07079195373
426	0.07051318571
427	0.0703824163
428	0.07006804125
429	0.07000634421
430	0.06977510841
431	0.06956300859
432	0.06942578381
433	0.06920842215
434	0.0689638107
435	0.06875172093
436	0.0685780426
437	0.0683658917
438	0.06804391628
439	0.06790366136
440	0.06762726508
441	0.06749044189
442	0.06731005197
443	0.06714672007
444	0.0669590738
445	0.06680903245
446	0.06668177186
447	0.06650198517
448	0.06646098032
449	0.06627662238
450	0.06606366653
451	0.06578175075
452	0.06553471452
453	0.06534152726
454	0.06515850025
455	0.06505223098
456	0.06486716884
457	0.06467554691
458	0.06453994814
459	0.06442341395
460	0.06418103456
461	0.06399077995
462	0.06377568481
463	0.06366120846
464	0.06348124101
465	0.06315825711
466	0.06307299181
467	0.06296013595
468	0.06271889104
469	0.0625252918
470	0.06229573159
471	0.06214608813
472	0.06186079295
473	0.06171292586
474	0.0615875923
475	0.0614139872
476	0.06117851076
477	0.06107927513
478	0.06093655944
479	0.06076638822
480	0.06060767572
481	0.06050826083
482	0.06035164356
483	0.06017574682
484	0.06005620094
485	0.06002685642
486	0.05990380869
487	0.05983468729
488	0.05965357545
489	0.0594478432
490	0.05929843209
491	0.05913473066
492	0.05906027012
493	0.05896386329
494	0.05879912758
495	0.0586673476
496	0.058455451
497	0.05832811978
498	0.05819987691
499	0.05805542496
