model,Accuracy,F1,AUC
GradientBoosting (tuned),0.6567164179104478,0.6424870466321243,0.6929207920792079
XGBoost (tuned),0.6616915422885572,0.6382978723404256,0.6886633663366336
RandomForest (tuned),0.6567164179104478,0.6187845303867403,0.6877722772277227
LightGBM (tuned),0.6417910447761194,0.6170212765957447,0.6704455445544554
LogisticRegression (tuned),0.5024875621890548,0.0,0.5560396039603961
