model,R2,MAE,RMSE
RandomForest (tuned),0.428853622982997,0.8212637142326199,1.1397205851988559
GradientBoosting (tuned),0.42315035049481853,0.8219256827823823,1.145396880102136
LightGBM (tuned),0.4193459170323419,0.7992533405704567,1.1491677283980712
XGBoost (tuned),0.4003772711384287,0.8283228748329651,1.1677872319042002
Ridge (tuned),0.3678410458185609,0.9293400887115205,1.199051470991086
LinearRegression (baseline),0.3602411020777583,0.9301668885948771,1.2062375579050855
Lasso (tuned),0.1840750494104446,1.1479729194266581,1.3622279480287802
