model,R2,MAE,RMSE
RandomForest (tuned),0.3387705207314593,0.9312843659462076,1.2649822844158096
LightGBM (tuned),0.3230544378455129,0.8959061310841813,1.2799270352282348
XGBoost (tuned),0.30068191194352945,0.9683921259824547,1.3009054123774575
GradientBoosting (tuned),0.2965344788195726,0.9817979245821308,1.304757337772525
Ridge (tuned),0.15604541350345502,1.053088265159944,1.4291173069015901
Lasso (tuned),0.11518108449232178,1.0959220722684655,1.4633072993088623
LinearRegression (baseline),0.10956937452780702,1.080579221833465,1.4679402683356084
