model,Accuracy,F1,AUC
RandomForest (balanced),0.6865671641791045,0.5401459854014599,0.7420865633074936
XGBoost (scale_pos_weight),0.7164179104477612,0.5714285714285714,0.7259366925064599
LightGBM (balanced),0.6915422885572139,0.5633802816901409,0.7244293712316968
GradientBoosting (tuned),0.6965174129353234,0.5547445255474452,0.7000968992248062
LogisticRegression (balanced),0.6417910447761194,0.0,0.6347437553832903
