model,R2,MAE,RMSE
RandomForest (tuned),0.4557968202282434,1.1425898593502262,1.4473201963683402
XGBoost (tuned),0.4510120216700534,1.1757725060066961,1.4536689098891964
LightGBM (tuned),0.43359462171167495,1.1496642364765421,1.4765486782759962
GradientBoosting (tuned),0.4266577931862062,1.187634994781913,1.4855628892184758
LinearRegression (baseline),0.3305687904897261,1.269384171669608,1.6052292428237338
Ridge (best alpha),0.319720688878551,1.2858174300968483,1.6181833063341025
Lasso (best alpha),0.11368580009342988,1.5247636171802441,1.847046965691385
