model,Accuracy,F1,AUC
LightGBM (tuned),0.7313432835820896,0.7476635514018691,0.8562376237623762
XGBoost (tuned),0.7164179104477612,0.7298578199052133,0.8366336633663366
GradientBoosting (tuned),0.7114427860696517,0.7264150943396226,0.8362376237623762
RandomForest (tuned),0.6965174129353234,0.7188940092165899,0.8336633663366336
LogisticRegression (tuned),0.5024875621890548,0.0,0.5312376237623762
